1,26,1 de mayo,1,
2,26,16 de noviembre,1,
3,26,2 de septiembre,1,
4,26,20 de junio,1,
5,26,23 de abril,1,
6,26,4 de febrero,1,
7,26,Achaval Peña,1,
8,26,Acosta,1,
9,26,Aeronautico,1,
10,26,Alberdi,1,
11,26,Alberto,1,
12,26,Alborada Norte,1,
13,26,Alborada Sur,1,
14,26,Alejandro Centeno,1,
15,26,Almirante Brown,1,
16,26,Alta Cordoba,1,
17,26,Altamira,1,
18,26,Alto Alberdi,1,
19,26,Alto Hermoso,1,
20,26,Alto Palermo,1,
21,26,Alto Verde,1,
22,26,Altos de Velez Sarsfield,1,
23,26,Altos de Villa Cabrera,1,
24,26,Altos San Martin,1,
25,26,Altos Sud de San Vicente,1,
26,26,Ameghino Norte,1,
27,26,Ameghino Sud,1,
28,26,Ampliacion 1 De Mayo,1,
29,26,Ampliacion Altamira,1,
30,26,Ampliacion Benjamin Matienzo,1,
31,26,Ampliacion Cerveceros,1,
32,26,Ampliacion Empalme,1,
33,26,Ampliacion Farina,1,
34,26,Ampliacion Jardin Espinosa,1,
35,26,Ampliacion Kennedy,1,
36,26,Ampliacion Las Palmas,1,
37,26,Ampliacion Los Platanos,1,
38,26,Ampliacion Palmar,1,
39,26,Ampliacion Panamericano,1,
40,26,Ampliacion Poeta Lugones,1,
41,26,Ampliacion Pueyrredon,1,
42,26,Ampliacion Residencial America,1,
43,26,Ampliacion Rosedal,1,
44,26,Ampliacion San Fernando,1,
45,26,Ampliacion San Pablo,1,
46,26,Ampliacion Urca,1,
47,26,Ampliacion Velez Sarsfield,1,
48,26,Ampliacion Yapeyu,1,
49,26,Ana Maria Zumaran,1,
50,26,Apeadero La Tablada,1,
51,26,Arcos I,1,
52,26,Argüello,1,
53,26,Argüello Lourdes,1,
54,26,Argüello Norte,1,
55,26,Arturo Capdevila,1,
56,26,Ate,1,
57,26,Autodromo,1,
58,26,Avenida,1,
59,26,Ayacucho,1,
60,26,Bajada De Piedra,1,
61,26,Bajada San Roque,1,
62,26,Bajo Galan,1,
63,26,Bajo General Paz,1,
64,26,Bella Vista,1,
65,26,Bella Vista Oeste,1,
66,26,Betania,1,
67,26,Bialet Masse,1,
68,26,Boedo,1,
69,26,Brigadier San Martin,1,
70,26,Cabaña del Pilar,1,
71,26,Cabo Farina,1,
72,26,Caceres,1,
73,26,California,1,
74,26,Camino A Villa Posse,1,
75,26,Carbo,1,
76,26,Carola Lorenzini,1,
77,26,Carrara,1,
78,26,Caseros,1,
79,26,Centro,1,
80,26,Centro America,1,
81,26,Cerro Chico,1,
82,26,Cerro de las Rosas,1,
83,26,Cerro Norte,1,
84,26,Cerveceros,1,
85,26,Chateau Carreras,1,
86,26,Ciudadela,1,
87,26,Cofico,1,
88,26,Colinas de Bella Vista,1,
89,26,Colinas de Velez Sarsfield,1,
90,26,Colinas del Cerro,1,
91,26,Colinas del Cerro Ampliacion,1,
92,26,Colon,1,
93,26,Colonia Lola,1,
94,26,Comandante Espora,1,
95,26,Comercial,1,
96,26,Congreso,1,
97,26,Consorcio Esperanza,1,
98,26,Cooperativa La Unidad,1,
99,26,Cordoba 4,1,
100,26,Cordoba 5,1,
101,26,Corral de Palos,1,
102,26,Country Club,1,
103,26,Country Fortin del Pozo,1,
104,26,Country Jockey Club,1,
105,26,Country Las Delicias,1,
106,26,Country Lomas de la Carolina,1,
107,26,Covico,1,
108,26,Crisol Norte,1,
109,26,Crisol Sud,1,
110,26,Cupani,1,
111,26,De Los Bioquimicos,1,
112,26,Dean Funes,1,
113,26,Ducasse,1,
114,26,Ejercito Argentino,1,
115,26,El Cabildo,1,
116,26,El Cerrito,1,
117,26,El Pueblito,1,
118,26,El Quebracho,1,
119,26,El Refugio,1,
120,26,El Trebol,1,
121,26,Emaus,1,
122,26,Empalme,1,
123,26,Empalme Casas De Obreros Y Empleados,1,
124,26,Escobar,1,
125,26,Estacion Flores,1,
126,26,Ferrer,1,
127,26,Ferreyra,1,
128,26,Ferroviario Mitre,1,
129,26,Finca La Dorotea,1,
130,26,General Arenales,1,
131,26,General Artigas,1,
132,26,General Belgrano,1,
133,26,General Bustos,1,
134,26,General Mosconi,1,
135,26,General Paz,1,
136,26,General Pueyrredon,1,
137,26,General Savio,1,
138,26,Granadero Pringles,1,
139,26,Granja De Funes,1,
140,26,Guarnicion Aerea Cba,1,
141,26,Guarnicion Militar Cba,1,
142,26,Guayaquil,1,
143,26,Güemes,1,
144,26,Guiñazu,1,
145,26,Guiñazu Sud,1,
146,26,Hipolito Yrigoyen,1,
147,26,Hogar Propio,1,
148,26,Horizonte,1,
149,26,Inaudi,1,
150,26,Independencia,1,
151,26,Industrial Este,1,
152,26,Industrial Oeste,1,
153,26,Ipona,1,
154,26,Ipv Ituzaingo Anexo,1,
155,26,Irupe,1,
156,26,Ituzaingo,1,
157,26,Ituzaingo Anexo,1,
158,26,Jardin,1,
159,26,Jardin Del Pilar,1,
160,26,Jardin Del Sud,1,
161,26,Jardin Espinosa,1,
162,26,Jardin Hipodromo,1,
163,26,Jeronimo Luis De Cabrera,1,
164,26,Jockey Club,1,
165,26,Jose Hernandez,1,
166,26,Jose I Rucci,1,
167,26,Jose Ignacio Diaz Seccion 1,1,
168,26,Jose Ignacio Diaz Seccion 2,1,
169,26,Jose Ignacio Diaz Seccion 3,1,
170,26,Jose Ignacio Diaz Seccion 4,1,
171,26,Jose Ignacio Diaz Seccion 5,1,
172,26,Juan B Justo,1,
173,26,Juan Xxiii,1,
174,26,Juniors,1,
175,26,Kairos,1,
176,26,Kennedy,1,
177,26,La Carolina,1,
178,26,La Floresta,1,
179,26,La France,1,
180,26,La Fraternidad,1,
