1;5;Achiras;1
2;5;Adelia Maria;1
3;5;Alcira (Estacion Gigena);1
4;5;Alejandro Roca;1
5;5;Alejo Ledesma;1
6;5;Alicia (Cordoba);1
7;5;Almafuerte (Cordoba);1
8;5;Alta Gracia;1
9;5;Alto Resbaloso - El Barrial;1
10;5;Anisacate;1
11;5;Arias (Cordoba);1
12;5;Arroyito;1
13;5;Arroyo Cabral;1
14;5;Ballesteros (Cordoba);1
15;5;Balnearia;1
16;5;Berrotaran (Cordoba);1
17;5;Bialet Masse;1
18;5;Brinkmann;1
19;5;Calchin (Cordoba);1
20;5;Camilo Aldao;1
21;5;Canals (Cordoba);1
22;5;Capilla del Monte;1
23;5;Casa Grande (Cordoba);1
24;5;Colonia Caroya;1
25;5;Colonia La Argentina (Dto  Gral  Roca);1
26;5;Cordoba (Capital);1
27;5;Coronel Moldes (Cordoba);1
28;5;Corral de Bustos;1
29;5;Cosquin;1
30;5;Country Chacras de la Villa - Country San Isidro;1
31;5;Cruz Alta (Cordoba);1
32;5;Cuesta Blanca (Argentina);1
33;5;Dean Funes (Cordoba);1
34;5;Del Campillo;1
35;5;Despeñaderos;1
36;5;Devoto (Cordoba);1
37;5;El Pueblito (San Javier);1
38;5;El Valle (Argentina);1
39;5;Elena (Cordoba);1
40;5;Embalse (Cordoba);1
41;5;Estacion Juarez Celman;1
42;5;Estancia Vieja;1
43;5;Etruria (Cordoba);1
44;5;Freyre;1
45;5;General Baldissera;1
46;5;General Cabrera;1
47;5;General Deheza;1
48;5;General Levalle;1
49;5;Guatimozin (Cordoba);1
50;5;Hernando (Cordoba);1
51;5;Huerta Grande;1
52;5;Huinca Renanco;1
53;5;Inriville;1
54;5;Isla Verde (Argentina);1
55;5;James Craik;1
56;5;Jesus Maria (Argentina);1
57;5;Jose de la Quintana (Cordoba);1
58;5;Jovita (Cordoba);1
59;5;Justiniano Posse (Cordoba);1
60;5;La Carlota (Argentina);1
61;5;La Cumbre (Cordoba);1
62;5;La Cumbrecita;1
63;5;La Falda;1
64;5;La Francia;1
65;5;La Para;1
66;5;La Paz (Totoral);1
67;5;La Perla (Cordoba);1
68;5;La Poblacion (Cordoba);1
69;5;La Rancherita;1
70;5;La Serranita;1
71;5;Laborde;1
72;5;Laboulaye;1
73;5;Laguna Larga;1
74;5;Las Acequias;1
75;5;Las Chacras (La Paz);1
