1,5,COCHABAMBA,1
2,5,M. DEL PONT,1
3,5,24 DE SEPTIEMBRE,1
4,5,27 DE FEBRERO,1
5,5,3 DE JUNIO,1
6,5,4 DE FEBRERO,1
7,5,AV. CONDARCO,1
8,5,AV. ARCOS,1
9,5,AV. BONPLAND,1
10,5,AV. CAPDEVILA,1
11,5,AV. DE BRUN,1
12,5,AV. DE PUCH,1
13,5,AV. DE VERA Y ARAGÓN,1
14,5,AV. M. JANER,1
15,5,AV. TROILO,1
16,5,AV. UDICELO,1
17,5,AV. VILLODO,1
18,5,AV. Y ORTEGA,1
19,5,ABAD E ILLANA,1
20,5,ALARCON,1
21,5,ALCARAZ,1
22,5,ALEM,1
23,5,ALSINA,1
24,5,ALTOLAGUIRRE,1
25,5,ANCHORIS,1
26,5,ANTRANIK,1
27,5,ARGENSOLA,1
28,5,ARREDONDO,1
29,5,ARRIOLA,1
30,5,ASTORGA,1
31,5,ASTORI,1
32,5,AV. LAS MALVINAS,1
33,5,AV. NAOM,1
34,5,AV. PATRIA,1
35,5,B. MARQUEZ,1
36,5,B. DE MENESES,1
37,5,B. DE PERALTA,1
38,5,B. HIDALGO,1
39,5,B. MENENDEZ,1
40,5,BALBASTRO,1
41,5,BARI,1
42,5,BLAS DE PERALTA,1
43,5,BOLE PERALTA,1
44,5,BULNES,1
45,5,BV. OCAMPO,1
46,5,C. DE SAA,1
47,5,C. BROCHERO,1
48,5,C. CONTRERAS,1
49,5,C. DE LA BARCA,1
50,5,C. GALVAN,1
51,5,C. SAAVEDRA,1
52,5,C. SALGUEIRO,1
53,5,C. VIDAL,1
54,5,CALABALUMBA,1
55,5,CAPDEVILA,1
56,5,CARASSA,1
57,5,CARBAJAL,1
58,5,CARLOS III,1
59,5,CASTAÑARES,1
60,5,CATAMARCA,1
61,5,CELESTINO VIDAL,1
62,5,CERRITO,1
63,5,CHACHAPOYAS,1
64,5,CHARCAS,1
65,5,CHICHILLA,1
66,5,CHILAVERT,1
67,5,CHORROARIN,1
68,5,CALLE PUBLICA,1
69,5,COCHABAMBA,1
70,5,COLODRERO,1
71,5,CORONEL OLMEDO,1
72,5,CORREA DE SAA,1
73,5,CORTAZAR,1
74,5,D. COLODRERO,1
75,5,D. DEL PUNCH,1
76,5,D. ECHAURI,1
77,5,D. VELEZ ,1
78,5,DEL ESCRIBARI,1
79,5,DIAZ GOMES,1
80,5,DISCEPOLO,1
81,5,DOS BARRIOS,1
82,5,E. Y USTARIZ,1
83,5,E. MARQUINA,1
84,5,ECHAURI,1
85,5,EDISON,1
86,5,ESCALADA,1
87,5,F. SUAREZ ,1
88,5,F. ABRAMO,1
89,5,F. DE ALARCON,1
90,5,F. MENESES,1
91,5,F. P LUCENA,1
92,5,F. RAUCH,1
93,5,F. SANCHEZ,1
94,5,FCO. DEL PRADO,1
95,5,FELIPE II,1
96,5,FLORENCIA,1
97,5,FRAGUEIRO,1
98,5,FRANKFURT,1
99,5,G. DE PUCH,1
100,5,G. NUÑEZ,1
101,5,G. P. DE DENIS,1
102,5,G. PUCH ,1
103,5,G. TOBAS,1
104,5,GALARZA,1
105,5,GARAGLIO,1
106,5,GAVILAN,1
107,5,GEORGETOWN,1
108,5,GERCHUNOF,1
109,5,GOB. NUÑEZ,1
110,5,GRANADERO TOBA,1
111,5,GUAHANANI,1
112,5,GUATILIGUALA,1
113,5,GUEMES,1
114,5,H. VILCP,1
115,5,H. DE AYOHUMA,1
116,5,H. DE VICAPUGIO,1
117,5,H. DE VILCAPUGIO,1
118,5,HELSINSKY,1
119,5,HOMERO,1
120,5,HUARTE,1
121,5,HUBERMAN,1
122,5,ISABEL LA CATÓLICA,1
123,5,ISASMENDI,1
124,5,J. CASTELLANOS,1
125,5,J. CLONER,1
126,5,J. DE QUEVEDO,1
127,5,J. DE AREVALOS,1
128,5,J. DE MEDEIROS,1
129,5,J. DE VEDIA,1
130,5,J. HERNANDEZ,1
131,5,J. LAGUNA,1
132,5,J. LIENDO,1
133,5,J. M. LA HORA,1
134,5,J. MELIAN,1
135,5,J. RIOS,1
136,5,J. SARAVIA,1
137,5,J. VILLEGAS,1
138,5,JUAN B. JUSTO,1
139,5,JAMAICA,1
140,5,JANER,1
141,5,JOSE VILLEGAS,1
142,5,JUAN LIENDO,1
143,5,JUAN XXIII,1
144,5,KANGOO,1
145,5,KM 5 LAS MALVINAS,1
146,5,L. VERNET ,1
147,5,L Y M. TORRES,1
148,5,L. Y PIZARRO,1
149,5,L. GADEA,1
150,5,L. Y PIZARRO,1
151,5,LA HABANA,1
152,5,LA HORA,1
153,5,LAVALLEJA,1
154,5,LEVILLIER,1
155,5,LIBERTAD,1
156,5,LITUANIA,1
157,5,LOCALINO,1
158,5,LOS TINTINES,1
159,5,LUCENA,1
160,5,LUIS PY,1
161,5,M. CASTRO,1
162,5,M. ALLENDE,1
163,5,M. DE CABRERA,1
164,5,M. DEL PONT,1
165,5,M. GUEMES ,1
166,5,M. USANDIVARAS,1
167,5,M. VELASCO,1
168,5,M. Y TORRES,1
169,5,MACHONI,1
170,5,MAG CERVANTES,1
171,5,MALLORCA,1
172,5,MARACAIBO,1
173,5,MARQUINA,1
174,5,MEDEIROS,1
175,5,MEJESTRE,1
176,5,MEJICO,1
177,5,MENESES,1
178,5,MILAN,1
179,5,MILLER,1
180,5,MINISTALALO,1
181,5,MOCHONI,1
182,5,MONTEMAYOR,1
183,5,MUIÑO,1
184,5,MURIEL,1
185,5,MUSLERA,1
186,5,MZA 50,1
187,5,MZA 64,1
188,5,MZA 72,1
189,5,N. DE ISASMENDI,1
190,5,N. DE LA CÁMARA,1
191,5,N. DE ISASMENDI,1
192,5,N. DE LA CAMARA,1
193,5,N. VEGA,1
194,5,NAZARET ALEJO,1
195,5,NICETO VEGA,1
196,5,O. A. RODRIGUEZ,1
197,5,O. BALBA,1
198,5,O. DE LEDESMA,1
199,5,O. MONTIEL,1
200,5,O. Y BEAUMONT,1
201,5,OB. ARESTI,1
202,5,OCA BALDA,1
203,5,OCARINA,1
204,5,ORREGO,1
205,5,OYAITA,1
206,5,P. AVALOS,1
207,5,P. DE LEDESMA,1
208,5,P. DE PALOS,1
209,5,P. DEL SAUCE,1
210,5,P. DENIS,1
211,5,P. J. RODRIGUEZ,1
212,5,P. L. MONTI,1
213,5,P. LA CASA,1
214,5,P. LA MONACA,1
215,5,P. MENESES,1
216,5,P. RICO,1
217,5,P. SANGUINETO,1
218,5,P.L. MONTI,1
219,5,PAISANDU,1
220,5,PALERMO,1
221,5,PANAHOLMA,1
